perceptron,KNN,lsvm,rbf_svm,RF,AdaBoost,MLP,CNN,VGG16,DA_cnn,DA_svm,PCA_svm,PCA_cnn,2features_svm
0.867,0.8815,0.869,0.939,0.984,0.877,0.977,0.987,0.929,0.9655,0.88825,0.989,0.9745,0.7565
0.747,0.836,0.853,0.873,0.849,0.799,0.835,0.905,0.92,0.73,0.773,0.878,0.847,0.784
